Date,Model,EECU (hours),Completed,EECU (hours/task)
2025-11-14,PT-JPL,0.5,51,0.00980392156862745
2025-11-14,SIMS,0.2,105,0.0019047619047619048
2025-11-14,SSEBop,1.4,109,0.012844036697247705
2025-11-14,eeMETRIC,5.7,67,0.08507462686567165
2025-11-13,SIMS,0.2,48,0.004166666666666667
2025-11-13,SSEBop,1.6,48,0.03333333333333333
2025-11-13,eeMETRIC,5.9,102,0.05784313725490196
2025-11-12,PT-JPL,0.5,42,0.011904761904761904
2025-11-12,SIMS,0.2,63,0.0031746031746031746
2025-11-12,SSEBop,1.4,87,0.016091954022988506
2025-11-12,eeMETRIC,6.1,23,0.2652173913043478
2025-11-11,PT-JPL,0.5,34,0.014705882352941176
2025-11-11,SIMS,0.2,66,0.0030303030303030303
2025-11-11,SSEBop,1.5,68,0.022058823529411766
2025-11-11,eeMETRIC,6.3,66,0.09545454545454546
2025-11-10,PT-JPL,0.5,42,0.011904761904761904
2025-11-10,SIMS,0.2,54,0.003703703703703704
2025-11-10,SSEBop,1.4,79,0.01772151898734177
2025-11-10,eeMETRIC,6.1,54,0.11296296296296296
2025-11-09,PT-JPL,0.5,34,0.014705882352941176
2025-11-09,SIMS,0.2,77,0.0025974025974025974
2025-11-09,SSEBop,1.5,78,0.019230769230769232
2025-11-09,eeMETRIC,5.8,57,0.10175438596491228
2025-11-08,PT-JPL,0.5,45,0.011111111111111112
2025-11-08,SIMS,0.2,89,0.0022471910112359553
2025-11-08,SSEBop,1.4,90,0.015555555555555555
2025-11-08,eeMETRIC,6.1,63,0.09682539682539681
2025-11-07,PT-JPL,0.5,35,0.014285714285714285
2025-11-07,SIMS,0.2,109,0.001834862385321101
2025-11-07,SSEBop,1.5,87,0.017241379310344827
2025-11-07,eeMETRIC,6.3,63,0.09999999999999999
2025-11-06,PT-JPL,0.5,31,0.016129032258064516
2025-11-06,SIMS,0.2,101,0.0019801980198019802
2025-11-06,SSEBop,1.4,85,0.016470588235294115
2025-11-06,eeMETRIC,5.7,73,0.07808219178082192
2025-11-05,PT-JPL,0.5,68,0.007352941176470588
2025-11-05,SIMS,0.2,117,0.0017094017094017094
2025-11-05,SSEBop,1.4,121,0.011570247933884297
2025-11-05,eeMETRIC,5.6,92,0.0608695652173913
2025-11-04,PT-JPL,0.5,11,0.045454545454545456
2025-11-04,SIMS,0.2,56,0.0035714285714285718
2025-11-04,SSEBop,1.6,58,0.027586206896551727
2025-11-04,eeMETRIC,6.1,49,0.12448979591836734
